1,7017034983,win,act,"This is my first entry on MomentBot, and I believe I have a long way to go.",1,,,,"2025-07-25 10:12:23.497025",2025-07-25,,,Completion,3,Elated,
2,7017034983,mood,mtn,"Mom talked about dead dog on fight day.",1,,,,"2025-07-25 10:15:45.231076",2025-07-25,,,"Commune people shared this and it seems they are conspiring against me",3,Fluctuation,
3,7017034983,mood,act,"Getting into next phase of the day",0,,,,"2025-07-25 10:37:11.021358",2025-07-25,,,"Time 4pm",3,Focus,202507261402-52add6
4,7017034983,need_learning,obs,"Insight. Joy, although should have been more",2,,,,"2025-07-25 11:45:27.643002",2025-07-25,,,Exercise,3,"Just like guitar",202507261402-52add6
5,7017034983,need_learning,obs,"Reflecting on momentbot project, mind went haywire everywhere. Too fast to control thoughts",0,,,,"2025-07-25 11:50:18.930876",2025-07-25,,,"Unsystematic reflecting",3,"High speed uncontrolled thinking",202507261402-52add6
6,7017034983,journal,,"learn about systematic thinking",0,,,,"2025-07-25 11:50:39.021477",2025-07-25,,,,3,,202507261402-509054
7,7017034983,win,mtn,"Each individual has strength, it is put up against other, more importantly test against oneself. I realised that their is a critic voice inside me i am not good enough",1,,,,"2025-07-25 11:57:52.198764",2025-07-25,,,"Post excercise clarity",3,"Vision and implementation",202507261402-509054
8,7017034983,journal,,"think before you perform, the world is a stage.",1,,,,"2025-07-25 11:58:45.087964",2025-07-25,,,,3,,202507261402-509054
9,7017034983,mood,mtn,"Got hurt, mother’s love",0,,,,"2025-07-25 12:11:26.060283",2025-07-25,,,"I got hurt",4,Love,202507261402-509054
10,7017034983,gratitude,mtn,"Discussed with mom situation",0,,,,"2025-07-25 12:42:45.631552",2025-07-25,,,"A compliment",4,Conversation,202507261402-9911ac
11,7017034983,win,obs,"How to see from a poor man’s eye",2,,,,"2025-07-25 13:32:56.291555",2025-07-25,,,"Communication, open perspective",4,"Secret insight",202507261402-9911ac
12,7017034983,gratitude,act,"Felt it, committed it, pushed it, got it",0,,,,"2025-07-25 14:44:04.744688",2025-07-25,,,"I got something which I wanted through grace belief and politeness",5,Belief,202507261402-9911ac
13,7017034983,mood,obs,"Not planned properly, old thrills of dollars",-1,,,,"2025-07-25 16:29:07.046020",2025-07-25,,,"Project, thrill",5,Tired,
14,7017034983,need_learning,obs,"Just general challenges at home, captured",0,,,,"2025-07-26 00:03:43.869012",2025-07-26,,,"Not sure",0,"Some unstructured thinking",202507261402-3c9edc
15,7017034983,gratitude,crt,"Spending morning time with family",1,,,,"2025-07-26 00:20:55.629789",2025-07-26,,,"Early morning routine",0,"Sense of community",202507261402-3c9edc
16,7017034983,mood,crt,"Family communication on conflict",1,,,,"2025-07-26 00:59:50.660221",2025-07-26,,,"Morning routine",0,Peaceful,202507261402-3c9edc
17,7017034983,journal,,"figure out the constants in life",1,,,,"2025-07-26 01:46:54.700545",2025-07-26,,,,0,,202507261402-3c9edc
18,7017034983,mood,obs,"Post morning routine contemplating",0,,,,"2025-07-26 03:12:01.437655",2025-07-26,,,"End of routine",1,Restful,202507261402-3c9edc
19,7017034983,journal,,"first phase of walk carryover negative from morning communication with parents. Second phase about observing nature and activities",1,,,,"2025-07-26 03:13:09.363625",2025-07-26,,,,1,,
20,7017034983,journal,,"there is lack of trust. The way the bed situation was handled needs to be reflected upon.",0,,,,"2025-07-26 04:49:33.463128",2025-07-26,,,,2,,
21,7017034983,mood,obs,"Lack of motion, insecurity regards to value addition and definitions",-1,,,,"2025-07-26 06:41:32.079288",2025-07-26,,,Lunch,2,Negativity,
